,symbol,sector,industry,ipo_date,sym_day0_OTC,sym_1day_ret,sym_5day_ret,sym_22day_ret,sym_91day_ret,sym_252day_ret,iwv_day0_OTC,iwv_1day_ret,iwv_5day_ret,iwv_22day_ret,iwv_91day_ret,iwv_252day_ret
374,IFRA, , ,2018-04-05,0.006658835555099385,0.0,-0.0066147773847684554,0.024902779946064157,0.0792158204720812,0.06617885445293492,0.00114382737088925,-0.021264216902169286,0.021487159358312136,0.0029202106943453376,0.06841161582043576,0.09432427951107991
375,IECS, , ,2018-03-23,0.00203995253340028,-0.007735919429910476,-0.002035613352042498,0.0065147196164419,0.01851537726967112,0.07553265075880322,-0.022950440453319954,0.02649105240024907,0.05001347004435597,0.020031387606848527,0.09307340850224177,0.09188190000148388
376,CFA, , ,2014-07-02,-0.009343092276577258,-0.000857206486653328,0.0025722111265022995,-0.03458131190459113,0.016657898168508156,0.07052310185681532,-0.000677170943198746,0.00533685299913933,0.45897407694985537,-0.029224769648109605,0.027307393948105885,0.07133733869559644
377,EPRF, , ,2016-05-24,0.0,0.00039807035954630976,0.00477537974369624,0.011898564212839968,0.01620879625163596,0.01699243929939609,0.008408245758708022,0.007111918934834982,0.3623185438727303,0.021172245714324855,0.05742066136168544,0.18300192396693626
378,FVAL, , ,2016-09-15,0.010400009155273615,-0.008313541232813249,0.0011877305584386821,-0.004552530815914002,0.11619519457534877,0.20895377692672623,0.010482843980454959,-0.003929673292906388,0.30288651269243894,-0.006223538711904508,0.08321309465791482,0.1830527425666566
379,CATH, , ,2016-04-26,0.0,0.00039806043087864396,-0.00557325163697997,-0.0007961208617573989,0.042197569389631484,0.1685425342212723,0.0004060996741102052,0.0017861435893562483,0.3529181005600659,0.00016251745598383494,0.048275224590843546,0.1712015028623337
380,TPAY, , ,2019-03-12,-1.1102230246251565e-16,0.01234741285703933,0.0192278847633649,0.044108808021354085,0.17022462451094222,0.10035244935697585,0.0013949279520129032,0.005995839637094713,-0.03878493296209895,0.034252921174563467,0.06672278867719306,0.03279636367636796
381,HDIV, , ,2020-02-27,-0.027161946449733132,-0.026501432793722746,0.03397182908982832,-0.17323986552378368,-0.04324981215743817,0.1936233684662112,-0.02485586027005382,-0.008553639788750789,-0.10537314953083643,-0.1573506456319721,0.058292605531098385,0.3443325703585174
382,EMHY, , ,2012-04-03,0.0018401176215228077,0.021224145240147818,0.021019835950727206,0.05510121228791043,0.08305555364913819,0.18091310414441653,-0.0023835605876278976,-0.010989882650532246,1.1454046176467356,-0.01576847775574175,-0.0061478732897767285,0.1239946198235311
383,TGRW, , ,2020-08-05,0.005652798020366445,0.010846383329617293,-0.019713316833252503,0.061554965537992556,0.12303071676693045,0.18091310414441653,0.003562774037950467,0.0047335139560651385,-0.20501682221931772,0.03555262359212219,0.12907623530409595,0.1239946198235311
384,TTT, , ,2012-03-29,-0.0012160797143385693,0.03612001195198489,0.034902445135923665,-0.10267871838361697,-0.32386373055650897,-0.266639676607908,0.0037453811835361783,0.0024070380126344215,1.1616722357948506,-0.0031298916321949033,-0.0022393402755965797,0.14479908972076339
385,ENTR, , ,2017-11-08,-0.0013271071330029915,-0.0073754711769449255,-0.001993312147227644,0.011295691259475937,0.1431589013730048,0.11981684434908524,0.0017638115314300151,-0.003847493159035209,0.05803482066074017,0.025236307724901597,0.055339079880629694,0.09868447723572693
386,FLGB, , ,2017-11-06,0.0,-0.00039893205811369903,-0.008376550972962304,-0.005185520444479952,0.016676518576237642,-0.03037693414537257,0.002287023777250541,-0.0020209888928774955,0.05775893196453219,0.01590715536181042,0.05460533449271576,0.06996371315390282
387,CID, , ,2015-08-20,0.0005767144633124222,-0.022190192732035707,-0.04841505830896975,-0.024783673962514352,-0.04860393493190185,-0.044562489888260726,-0.014131388797064437,-0.029491539767221298,0.3939777764983592,-0.029162120298801275,0.018605783604219495,0.08647992858069387
388,WOMN, , ,2018-08-30,-0.0029614740999288625,0.0004949460835930175,-0.009900972836731303,0.010395816362080756,-0.08423693128505372,0.034928363579639576,-0.0020802069538321533,0.00046316635819709795,-0.07182163864451696,0.003620715711186717,-0.10618823139916889,0.011586733673986327
389,JIG, , ,2020-06-01,0.0038274460623828332,0.008723195673843387,0.02977781699141069,0.052971269097096485,0.21562362938119772,0.034928363579639576,0.0074251140495718015,0.008776820921445161,-0.12772794989009328,0.01649298886505357,0.13733728530306344,0.011586733673986327
390,JSML, , ,2016-02-25,-0.008251512201410072,0.007012682492789191,0.019175955085171337,0.01267831613324577,0.0859847363339048,0.2395743709260203,0.009261668844715132,-0.0013983789523941415,0.46348127758324686,0.046507642874318966,0.08277584849093489,0.2508402872379023
391,FQAL, , ,2016-09-16,0.0009928363076761038,0.002182157384842176,0.021226019113798067,-0.0069428588300533,0.07932964515026186,0.1931754723398047,-0.0008671707660602435,0.0011834488218918082,0.3080266300067869,-0.004916630384954157,0.08621315968793963,0.18980736965383893
392,HDLB, , ,2019-10-30,-0.0010463169482237689,-0.007009291960528019,0.032629776035310254,0.010623022173260388,-0.38573359146334874,-0.634221195282377,0.001744008768459926,-0.003144934803974375,-0.12062774421488653,0.03465134413472071,-0.10423513802793727,0.09837034003103362
393,DIVB, , ,2017-11-09,0.0,0.0,-0.006207417376076996,0.038846752968823006,0.020277014694413342,0.09453588412381908,0.001836298446631579,-6.54313703146725e-05,0.062121325193487564,0.03181465607728473,0.033509529407859784,0.10066515903205553
394,MJJ, , ,2019-12-11,-0.005747765655584769,0.018883403468992865,0.009641704161080566,0.037406711000919524,-0.14572622437769367,0.3155567473119285,0.001141319902215887,0.007926180014385498,-0.14994024697465935,0.046734852062405796,-0.12031939569835748,0.20746448362405023
395,QUS, , ,2015-04-16,0.0005005636433190741,0.0,0.0008339592669670548,-0.00016653476713202053,-0.0932254770771177,0.029765447349376473,0.0008729514204168787,-0.011893391566338174,0.34854357875967157,0.005708774267675798,-0.09778275668597713,-0.010030416777697782
396,FDG, , ,2020-04-02,0.013743073345932277,-0.009783831681086541,0.0957820007119774,0.20392393635724515,0.5687855306186995,0.029765447349376473,0.02670749876927747,-0.016093328461237566,0.07545519095468456,0.13568251403563858,0.35273298667815767,-0.010030416777697782
397,PFFL, , ,2018-09-26,0.0032064096697297373,0.00039938838643860386,-0.013983383058132293,-0.03756772668149988,-0.017283664379648456,0.128929726117899,-0.004865313452569686,0.0026190993652022154,-0.07113306368898653,-0.07426790339579747,-0.05671322627615227,0.031665661963683034
398,CHGX, , ,2017-10-10,-0.0011062200137207379,0.002657892094563241,0.002491889420462412,0.013067652181537381,0.06301509373331204,0.1385479421923428,0.0007939860604155857,0.001322546134045366,0.07272498417546003,0.01388438568169792,0.06527760177162256,0.1398853031793954
399,TECB, , ,2020-01-13,0.00585232416357595,-0.003319185454924267,0.012300307140753475,0.05947129219572567,0.07131021456950726,0.3906204616542217,0.00476491612979002,-0.0006253261705994051,-0.18789390517527116,0.0283496553674476,-0.10433345297805019,0.20587051715209803
400,JJN, , ,2018-01-18,0.0,0.0,0.0,0.11501976028321037,0.18359686157458355,-0.08211460285758532,-0.0015133172192388633,0.005698828620151142,-0.020480747212463735,-0.02115796992281105,-0.024346288040648534,-0.04205897150468707
401,NUMG, , ,2016-12-20,-1.1102230246251565e-16,0.005233471368807141,-0.005233471368807141,0.015297858971942357,0.06642516187715453,0.18679551260087535,0.0013301261161626776,-0.002730562264382841,0.2188372102473506,-0.0023154071434459134,0.05520374351649915,0.1938245539296206
402,SGG, , ,2018-01-25,0.0,0.0,-0.0032134935623633343,0.006627796952992426,-0.09620407365836281,-0.13325973115540357,-0.003451775488117037,0.010271910286074437,-0.03510476019453512,-0.02042388062854672,-0.016667618952047603,-0.0458430822548902
403,CAPE, , ,2012-10-11,-0.0037661533901467426,-0.0031834431507244965,0.014126600136907141,-0.031635499516255994,0.05451654934283745,0.20175096583720653,-0.004589847993946128,-0.004137791212031838,1.1044970309106996,-0.03736097055038734,0.056291114011688625,0.23945497858636489
404,HIPR, , ,2020-06-11,-0.0361832896126939,0.015874127977954844,0.03858155000066099,0.0677018904011546,0.14710739941453932,0.20175096583720653,-0.031894830479998526,0.014095046192388994,-0.11168489434307116,0.05249353322466899,0.16212269187242212,0.23945497858636489
405,TPSC, , ,2019-12-03,0.0036615196447209453,0.0040130071512543,0.01844371184448157,0.03429206050043021,-0.25734193332850075,0.060755955964158614,0.003928247391278283,0.005841796313075243,-0.13705690128265136,0.04510037487600749,-0.09195893110955566,0.21791469316420264
406,SUSB, , ,2017-07-18,2.220446049250313e-16,0.0,0.0,0.0015918800794774146,0.005054469024319941,0.0023255436391194095,0.0025491587429238294,0.005978788266077784,0.11960685319315334,0.0015806901306927301,0.06399120803791969,0.16691780244181298
407,FTXR, , ,2016-09-22,0.0,0.0,0.00492619537542649,-0.00443345743870005,0.13582330105804474,0.17974860893292233,0.0018603635639355964,-0.005570583865532885,0.282625036244633,-0.017173525611735685,0.057001741848603515,0.16898471690763706
408,COW, , ,2018-02-01,0.0,0.0,0.0,-0.020238103707991617,-0.07033733881579995,-0.04406747230446617,0.002955222847711214,-0.021347162984443058,-0.028432522435150598,-0.03138909865858053,0.003655955358860874,-0.022716139868091623
409,FNDE, , ,2013-08-15,-0.003571434518377048,-0.0027876895829359594,-0.03385127396533072,0.05894057009663167,0.05770770912031287,0.13177131992886149,-0.006200027465820268,-0.0037231024467681006,0.762901860138864,0.025357291862949438,0.1115499952453487,0.19429347110944084
410,BTEK, , ,2020-10-01,0.004455628574107973,-0.011417532717007739,0.03375120639344753,-0.003124373260303015,0.5571841897751983,0.13177131992886149,0.0007093605047401308,-0.007797423189064845,-0.22074781680216227,-0.028151859553163794,0.20008487413283982,0.19429347110944084
411,WIZ, , ,2019-10-17,-0.0011905034022708927,-0.0026220838544158687,-0.004410028076180295,0.031783883560342785,0.004951653370815157,0.25665947709012116,-0.0010836229347245263,-0.00422489397283099,-0.10601756009926355,0.041906933822746906,-0.0007203121257641776,0.18824115366670546
412,EFNL, , ,2012-01-26,0.0,0.0,0.0,0.05809123283886475,-0.21840801021316014,0.10719620747177472,-0.010378428966630993,0.0006397458550779778,1.3060640562893733,0.04220498076860846,-0.021932438706609436,0.16541911443567292
413,EMBD, , ,2020-06-03,-0.0009704820771796463,-0.0033029318239570227,0.0066833852962588924,0.017097152461532428,0.055280579336882685,0.10719620747177472,0.008205786884734056,-0.0028595577833896435,-0.14739526954471682,0.00389247757262412,0.1305846336189469,0.16541911443567292
414,QYLG, , ,2020-09-23,-0.023882292996889487,0.004962047247809576,0.03633723317433968,0.04919397247167545,0.19947583724049056,0.10719620747177472,-0.026742347740797312,0.002333991057272611,-0.18362879995632142,0.07479309157496417,0.2231723461505275,0.16541911443567292
415,FTXD, , ,2016-10-11,0.0,0.0,0.0,-0.006033366878933855,0.011763552533560206,0.0062207623262935385,-0.011427669537104945,0.001108512262802952,0.3076202214603967,0.012905682888711745,0.1196148238723933,0.21897060360301612
